Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund-Reg(G),Bhupesh Bameta,DT-B&PSU,Unrated,52.8,0.45,Open Ended,02-Dec-22,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2026,11.51,11.51,10.72,0.56,1.6,3.63,7.41,7.11,-,-,-,0,-,-,-,-,-,-,1.14,1.03,7.2,2.85,7,15.83,0.16,0.47,Debt : Banking & PSU,Nil
Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund-Reg(G),Bhupesh Bameta,DT-MD,Unrated,294.3,0.36,Open Ended,07-Oct-22,CRISIL IBX Gilt Index - April 2026,11.72,11.72,10.94,0.56,1.49,3.59,7.22,7.13,-,-,-,0,-,-,-,-,-,-,1.3,1.21,6.82,2.57,5.79,13.38,0.19,0.54,Debt : Medium Duration,Nil
Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index Fund-Reg(G),Bhupesh Bameta,DT-M&LD,Unrated,29.2,0.79,Open Ended,15-Mar-23,CRISIL IBX Gilt Index - April 2028,11.34,11.34,10.56,0.53,1.28,3.73,7.38,-,-,-,-,0,-,-,-,-,-,-,2.96,2.56,6.85,2.02,3.68,7.79,0.41,0.88,Debt : Medium to Long Duration,Nil
Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund-Reg(G),Harshil Suvarnkar,DT-GILT,Unrated,695.2,0.37,Open Ended,19-Oct-22,CRISIL IBX Gilt Index - April 2029,11.95,11.96,11.03,0.43,1.27,4.3,8.37,8.17,-,-,-,0,-,-,-,-,-,-,4.34,3.68,6.82,2.39,3.28,5.97,0.61,1.28,Debt : Gilt,Nil
Aditya Birla SL CRISIL IBX Gilt April 2033 Index Fund-Reg(G),Bhupesh Bameta,DT-LD,Unrated,87.2,0.47,Open Ended,22-Dec-23,CRISIL IBX Gilt Index - April 2033,10.94,10.94,10,0.45,0.99,4.69,9.22,-,-,-,-,0,-,-,-,-,-,-,7.66,5.65,6.92,1.94,2.71,4.96,0.99,1.8,Debt : Long Duration,Nil
Aditya Birla SL CRISIL IBX Gilt June 2027 Index Fund-Reg(G),Bhupesh Bameta,DT-GILT,Unrated,13,0.5,Open Ended,05-Jun-24,CRISIL IBX Gilt Index - June 2027,10.45,10.45,10,0.5,1.42,3.8,-,-,-,-,-,0,-,-,-,-,-,-,2.4,2.09,6.79,-,-,-,-,-,Debt : Gilt,Nil
Aditya Birla SL CRISIL IBX SDL Jun 2032 Index Fund-Reg(G),Bhupesh Bameta,DT-LD,Unrated,160,0.57,Open Ended,14-Feb-23,CRISIL IBX SDL Index - June 2032,11.72,11.72,10.61,0.65,1.46,4.6,9.8,-,-,-,-,0,-,-,-,-,-,-,7.12,5.35,7.19,3.12,3.04,6.2,0.76,1.77,Debt : Long Duration,Nil
Aditya Birla SL CRISIL Liquid Overnight ETF,Sanjay Pawar,DT-ON,Unrated,61.9,0.43,Open Ended,13-Mar-23,CRISIL Liquid Overnight Index,1000,1000.55,1000,0.51,1.51,3.02,6.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.93,6.72,8.75,-,0.14,Debt : Overnight,null
Aditya Birla SL CRISIL-IBX AAA Financial Services Index-Sep 2027 Fund-Reg(G),Harshil Suvarnkar,DT-M&LD,Unrated,100.9,-,Open Ended,13-Nov-24,CRISIL IBX AAA Financial Services Index - Sep 2027,10.08,10.09,10,0.6,-,-,-,-,-,-,-,0,-,-,-,-,-,-,2.39,2.03,7.66,-,-,-,-,-,Debt : Medium to Long Duration,NIL
Aditya Birla SL CRISIL-IBX AAA NBFC-HFC Index-Dec 2025 Fund-Reg(G),Sanjay Godambe,DT-SD,Unrated,372.4,-,Open Ended,15-Oct-24,CRISIL-IBX AAA NBFC-HFC Index - Dec 2025,10.15,10.15,10,0.63,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0.94,0.87,7.84,-,-,-,-,-,Debt : Short Duration,NIL
Aditya Birla SL CRISIL-IBX AAA NBFC-HFC Index-Sep 2026 Fund-Reg(G),Harshil Suvarnkar,DT-SD,Unrated,274.9,-,Open Ended,08-Oct-24,CRISIL-IBX AAA NBFC-HFC Index - Sep 2026,10.17,10.17,10,0.66,-,-,-,-,-,-,-,0,-,-,-,-,-,-,1.62,1.43,7.86,-,-,-,-,-,Debt : Short Duration,Nil
Aditya Birla SL CRISIL-IBX Financial Services 3 to 6 Months Debt Index Fund-Reg(G),Harshil Suvarnkar,DT-USD,Unrated,1118.5,-,Open Ended,17-Dec-24,CRISIL-IBX Financial Services 3 to 6 Months Debt Index,10.04,10.04,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : Ultra Short Duration,Nil
Aditya Birla SL Digital India Fund(G),Kunal Sangoi,EQ-TECH,Unrated,5332.7,1.87,Open Ended,15-Jan-00,BSE TECk Index - TRI,186.86,197.62,146,0.03,-0.05,12.91,18.32,26.67,7.98,27.7,18.88,31,33,191813,64.97,7.44,20.23,Technology,-,-,-,10.68,0.9,1.69,0.73,16.04,Equity : Sectoral - Technology,1% on or before 30D Nil after 30D
Aditya Birla SL Dividend Yield Fund(G),Dhaval Gala,EQ-DIV,Unrated,1536.5,2.21,Open Ended,10-Feb-03,NIFTY 500 - TRI,452.51,497.49,379.09,-1.52,-8.76,0.55,18.18,28.94,20.52,22.45,12.14,33,67,114357,55.76,10.69,24.65,Technology,-,-,-,9.83,0.88,1.27,0.98,16.7,Equity : Thematic - Dividend Yield,1% on or before 90D Nil after 90D
Aditya Birla SL Dynamic Bond Fund-Reg(G),Mohit Sharma,DT-DYN,1,1716.9,1.23,Open Ended,27-Sep-04,NIFTY Composite Debt Index,44.23,44.27,40.6,0.45,0.6,4.27,8.8,7.76,7.16,7.19,6.4,0,-,-,-,-,-,-,15.02,8.15,7.24,1.18,2.14,3.62,1.13,2.11,Debt : Dynamic Bond,Nil upto 15% of units0.50% in excess of limit on or before 90D and Nil after 90D
Aditya Birla SL ELSS Tax Saver Fund(G),Dhaval Shah,EQ-ELSS,1,15745.8,1.68,Open Ended,10-Mar-08,NIFTY 500 - TRI,57.89,62.96,48.77,-1.67,-8.66,-2.08,16.11,18.22,11.41,12.22,11.03,28,67,190619,64.01,17.53,15.24,Financials,-,-,-,7.71,0.89,1.3,0.92,13.83,Equity : Tax Saving (ELSS),Nil
Aditya Birla SL Equity Advantage Fund(G),Vishal Gajwani,EQ-L&M,4,5869.5,1.9,Open Ended,24-Feb-95,NIFTY LargeMidcap 250 - TRI,901.21,960.8,746.94,0.23,-6.92,-0.62,16.09,22.12,9.17,16.01,12.3,47,77,103434,45.23,36.14,17.16,Financials,-,-,-,7.51,0.79,1.12,0.97,15.67,Equity : Large & Mid Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Equity Hybrid 95 Fund(G),Chanchal Khandelwal,HY-EQ,4,7684.2,1.85,Open Ended,10-Feb-95,CRISIL Hybrid 35+65 - Aggressive Index,1486.91,1557.86,1261.26,-0.72,-4.98,0.65,15.6,18.88,11.68,13.88,10.37,69,80,216645,55.66,9.09,11.79,Financials,5.45,3.63,7.43,5.95,1.06,1.59,1.79,10.52,Hybrid : Equity Oriented,1% on or before 90D Nil after 90D
Aditya Birla SL Equity Savings Fund-Reg(G),Lovelish Solanki,HY-EQ,2,624.3,1.12,Open Ended,28-Nov-14,NIFTY 50 Equity Savings Index - TRI,21.07,21.07,19.38,0.38,-0.1,2.84,8.31,9.93,6.26,8.42,7.57,692,121,258243,48.73,16.8,3.32,Financials,3.53,2.78,6.92,2.7,1.5,2.45,0.46,2.68,Hybrid : Equity Oriented,0.25% on or before 7D Nil after 7D
Aditya Birla SL ESG Integration Strategy Fund-Reg(G),Chanchal Khandelwal,EQ-THEM,Unrated,686.8,2.41,Open Ended,24-Dec-20,NIFTY100 ESG - TRI,18.1,18.95,14.38,-0.11,-5.57,5.7,22.15,23.04,9.46,-,-,-,49,188095,67.07,21.51,9.87,Financials,-,-,-,12.78,1.29,2.12,0.85,13.25,Equity : Thematic,1% on or before 30D Nil after 30D
Aditya Birla SL Financial Planning FOF Aggressive Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,216,1.19,Open Ended,09-May-11,CRISIL Hybrid 35+65 - Aggressive Index,51.1,54.15,43.41,-0.26,-5.27,1.11,16.89,20.7,14.75,16.85,12.37,-,-,-,-,-,-,-,-,-,-,7.79,1.09,1.58,1.79,11.99,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Financial Planning FOF Conservative Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,19.1,1.06,Open Ended,09-May-11,CRISIL Short Term Debt Hybrid 75+25 Index,32.42,33.22,28.97,0.19,-2.21,2.39,11.72,13.8,10.51,11.22,8.85,-,-,-,-,-,-,-,-,-,-,4.69,1.27,1.85,1.03,6.08,FoFs : Domestic,1% on or before 1Y Nil after 1Y
Aditya Birla SL Financial Planning FOF Moderate Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,36.3,1.18,Open Ended,09-May-11,CRISIL Hybrid 50+50 - Moderate Index,40.08,41.8,34.91,-0.1,-3.85,1.72,14.29,17.23,12.6,14.02,10.51,-,-,-,-,-,-,-,-,-,-,6.15,1.15,1.66,1.43,9.08,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Flexi Cap Fund(G),Harish krishnan,EQ-FLEX,3,22440.2,1.68,Open Ended,27-Aug-98,NIFTY 500 - TRI,1734.39,1853.62,1425.06,-0.79,-7.15,1.95,18.66,22.91,14.53,17.63,13.92,44,81,188311,69.01,16.84,12.37,Financials,-,-,-,9.83,1.05,1.59,0.92,13.73,Equity : Flexi Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Floating Rate Fund(G),Kaustubh Gupta,DT-FL,3,13287.1,0.44,Open Ended,25-Mar-09,NIFTY Low Duration Debt Index,333.94,333.94,309.53,0.62,1.85,3.85,7.9,7.68,6.72,6.46,7.37,0,-,-,-,-,-,-,1.89,1.02,7.64,3.6,10.34,19.98,0.07,0.37,Debt : Floater,Nil
Aditya Birla SL Focused Fund(G),Kunal Sangoi,EQ-LC,3,7706.3,1.82,Open Ended,24-Oct-05,NIFTY 500 - TRI,138.24,148.29,112.95,-1.05,-7.02,1.6,19.31,21.7,14.34,16.83,12.38,27,29,327990,78.14,11.98,2.11,Financials,-,-,-,9.9,1.08,1.66,0.94,13.58,Equity : Large Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Frontline Equity Fund(G),Mahesh Patil,EQ-LC,4,29323.3,1.65,Open Ended,30-Aug-02,NIFTY 100 - TRI,511.08,550.82,427.33,-1.27,-7.69,-0.12,16,20.12,14.5,16.79,12.3,40,79,308142,83.74,4.63,8.17,Financials,-,-,-,7.13,0.87,1.31,0.95,13.68,Equity : Large Cap,1% on or before 90D Nil after 90D
Aditya Birla SL FTP-TI-1837D-Reg(G),Mohit Sharma,DT-FMP,Unrated,304.9,-,Closed Ended,29-Jun-21,CRISIL Medium to Long Term Debt Index,12.25,12.25,11.34,0.57,1.59,3.89,8.02,7.57,5.83,-,-,-,-,-,-,-,-,-,-,-,-,3.4,6.07,14.84,0.16,0.64,Debt : FTP/FMP,null
Aditya Birla SL FTP-TJ-1838D-Reg(G),Mohit Sharma,DT-FMP,Unrated,25.1,-,Closed Ended,16-Jul-21,CRISIL Medium to Long Term Debt Index,12.24,12.24,11.33,0.55,1.56,3.85,8.08,7.6,5.88,-,-,-,-,-,-,-,-,-,-,-,-,3.4,6.1,14.1,0.18,0.64,Debt : FTP/FMP,null
Aditya Birla SL FTP-TQ-1879D-Reg(G),Mohit Sharma,DT-FMP,Unrated,211.8,-,Closed Ended,24-Mar-22,CRISIL Medium to Long Term Debt Index,11.82,11.83,10.95,0.5,1.51,3.99,8.06,7.78,-,-,-,-,-,-,-,-,-,-,-,-,-,3.02,5.66,13.27,0.29,0.69,Debt : FTP/FMP,null
Aditya Birla SL FTP-UB-1224D-Reg(G),Mohit Sharma,DT-FMP,Unrated,24.5,-,Closed Ended,16-Dec-22,CRISIL Medium Duration Debt Index,11.54,11.54,10.74,0.59,1.55,3.73,7.48,7.37,-,-,-,-,-,-,-,-,-,-,-,-,-,2.8,5.97,13.55,0.2,0.57,Debt : FTP/FMP,null
Aditya Birla SL FTP-UJ-1110D-Reg(G),Mohit Sharma,DT-FMP,Unrated,73.3,-,Closed Ended,27-Mar-23,CRISIL Medium Duration Debt Index,11.36,11.36,10.57,0.57,1.53,3.76,7.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.87,5.9,12.9,0.17,0.57,Debt : FTP/FMP,null
Aditya Birla SL G-Sec Fund(G),Bhupesh Bameta,DT-GILT,3,2045,1.14,Open Ended,11-Oct-99,Nifty All Duration G-Sec Index,78.26,78.55,71.6,0.22,0.03,3.63,9.03,7.96,5.85,6.51,7.73,0,-,-,-,-,-,-,20.87,9.38,7.04,0.66,1.84,3.21,1.36,2.55,Debt : Gilt,Nil
Aditya Birla SL Global Emerging Opp Fund(G),Dhaval Joshi,FOF-OVR,Unrated,248.2,1.16,Open Ended,17-Sep-08,S&P Global 1200,25.21,26.2,20.57,-1.08,2.34,3.6,19.6,-2.14,4.68,12.29,7.51,0.2,1,-,-,-,-,-,-,-,-,15.2,1.1,1.78,0.5,15.01,FoFs : Overseas,0.25% on or before 28D Nil after 28D
Aditya Birla SL Global Excellence Equity FoF(G),Dhaval Joshi,FOF-OVR,Unrated,201.4,1.28,Open Ended,31-Dec-07,MSCI World,32.11,33.15,26.33,-0.93,-0.19,1.7,19.66,2.85,7.99,8.76,6.39,0.06,1,-,-,-,-,-,-,-,-,15.3,1.1,1.8,0.48,14.91,FoFs : Overseas,0.25% on or before 28D Nil after 28D
Aditya Birla SL Gold ETF,Sachin Wankhede,GOLD-ETF,Unrated,946.5,0.54,Open Ended,13-May-11,Gold-India,68.35,70.72,55.06,-0.17,1.3,6.3,19.85,16.77,15.79,13.5,9.93,-,-,-,-,-,-,-,-,-,-,15.12,1.22,1.85,0.09,12.62,Gold : ETFs,Nil
Aditya Birla SL Gold Fund(G),Priya Sridhar,GOLD-MF,Unrated,434.7,0.52,Open Ended,20-Mar-12,Gold-India,22.47,23.53,18.36,-0.66,0.74,6.25,18.87,16.41,15.05,12.71,9.36,-,-,-,-,-,-,-,-,-,-,13.78,1.03,1.71,0.23,14.05,Gold : MFs,1% on or before 15D Nil after 15D
Aditya Birla SL Income Fund(G),Bhupesh Bameta,DT-M&LD,5,2185.1,1.16,Open Ended,21-Oct-95,CRISIL Medium to Long Term Debt Index,120.55,120.72,110.98,0.46,0.75,3.96,8.39,7.45,5.72,6.69,6.97,0,-,-,-,-,-,-,15.12,6.65,7.34,1.23,2.3,4.06,0.97,1.8,Debt : Medium to Long Duration,Nil
Aditya Birla SL India GenNext Fund(G),Chanchal Khandelwal,EQ-CONS,3,5891.5,1.85,Open Ended,05-Aug-05,Nifty India Consumption - TRI,215.03,236.16,174.57,-0.4,-9.18,2.08,17.92,22.44,16.41,18.44,15.32,18,80,144198,66.78,15.93,16.68,FMCG,-,-,-,9.85,1.14,1.91,0.72,11.88,Equity : Thematic - Consumption,1% on or before 30D Nil after 30D
Aditya Birla SL Infrastructure Fund(G),Mahesh Patil,EQ-INFRA,4,1187.6,2.25,Open Ended,17-Mar-06,Nifty Infrastructure - TRI,95.37,102.31,76.25,-1.13,-7.17,-3.88,24.07,33.59,25.39,25.62,13.73,49,64,61544,39.59,19.43,36.52,Capital Goods,-,-,-,14.67,1.06,1.48,1.07,18.95,Equity : Sectoral - Infrastructure,1% on or before 30D Nil after 30D
Aditya Birla SL Intl. Equity Fund(G),Dhaval Joshi,EQ-INTL,Unrated,187.7,2.54,Open Ended,31-Oct-07,S&P Global 1200,34.63,36.1,31.36,-2.59,-3.37,7.13,7.24,7.91,4.46,7.97,7.82,81,74,-,-,-,-,-,-,-,-,2.92,0.37,0.61,0.12,9.45,Equity : International,1% on or before 30D Nil after 30D
Aditya Birla SL Inv Inc-QS I-Reg(G),Mohit Sharma,DT-FMP,Unrated,28.3,-,Interval,30-Aug-07,CRISIL Liquid Debt Index,32.9,32.9,30.65,0.62,1.75,3.49,7.36,7.27,6.77,5.46,6.16,0,-,-,-,-,-,-,0.11,-,-,3.25,11.11,23.54,0.01,0.3,Debt : FTP/FMP,Nil
